cpu_config,workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
ARM-like,bursty,5,Contextual Bandit RL,82.33538,115.04784,17.22386,0.9708600000000001,0.030826,4.0,0.8,0.66334,310.7686,21.2,1.06,168.77839999999998
ARM-like,bursty,5,PRM,53.165960000000005,85.87844,39.620580000000004,0.9708600000000001,0.030826,2.8,0.5599999999999999,0.32252000000000003,310.7686,5.0,0.25,168.77839999999998
ARM-like,bursty,5,PRR,53.55986,86.27232000000001,31.836540000000003,0.9708600000000001,0.030826,3.0,0.6,0.45161999999999997,310.7686,10.6,0.53,168.77839999999998
ARM-like,bursty,5,Proposed Hybrid,64.67798,97.39045999999999,23.868119999999998,0.9708600000000001,0.030826,4.4,0.8800000000000001,0.65484,310.7686,21.6,1.08,168.77839999999998
ARM-like,bursty,10,Contextual Bandit RL,186.39916,219.55446,42.9573,0.9846199999999999,0.029968,9.0,0.9,0.25207999999999997,629.9504,56.0,2.8,336.76879999999994
ARM-like,bursty,10,PRM,121.05516,154.21048000000002,103.87375999999999,0.9846199999999999,0.029968,6.8,0.6799999999999999,0.21747999999999998,629.9504,10.8,0.54,336.76879999999994
ARM-like,bursty,10,PRR,126.50176000000002,159.65704,96.67188,0.9846199999999999,0.029968,8.0,0.8,0.29698,629.9504,29.8,1.49,336.76879999999994
ARM-like,bursty,10,Proposed Hybrid,157.75472,190.91,50.314,0.9846199999999999,0.029968,9.0,0.9,0.3301,629.9504,54.8,2.7399999999999998,336.76879999999994
ARM-like,bursty,20,Contextual Bandit RL,388.5401,421.24997999999994,81.14362,0.99204,0.030424,18.4,0.9199999999999999,0.13232,1242.9756,124.2,6.209999999999999,659.4136000000001
ARM-like,bursty,20,PRM,259.12964,291.8395,238.75434,0.99204,0.030424,16.0,0.8,0.14342000000000002,1242.9756,22.4,1.1199999999999999,659.4136000000001
ARM-like,bursty,20,PRR,270.8654,303.57527999999996,213.81022000000002,0.99204,0.030424,17.2,0.86,0.2681,1242.9756,99.2,4.959999999999999,659.4136000000001
ARM-like,bursty,20,Proposed Hybrid,325.73352,358.44341999999995,127.41918000000001,0.99204,0.030424,18.8,0.9399999999999998,0.1893,1242.9756,122.2,6.11,659.4136000000001
ARM-like,bursty,50,Contextual Bandit RL,1002.65072,1036.42816,286.06282,0.9968999999999999,0.029570000000000003,45.2,0.9040000000000001,0.092,3208.8586000000005,328.0,16.4,1694.089
ARM-like,bursty,50,PRM,706.90206,740.67948,678.52124,0.9968999999999999,0.029570000000000003,43.4,0.868,0.09690000000000001,3208.8586000000005,57.8,2.8899999999999997,1694.089
ARM-like,bursty,50,PRR,733.164,766.94142,605.07524,0.9968999999999999,0.029570000000000003,46.6,0.932,0.11578,3208.8586000000005,342.4,17.119999999999997,1694.089
ARM-like,bursty,50,Proposed Hybrid,826.60352,860.3809600000001,359.54596000000004,0.9968999999999999,0.029570000000000003,47.8,0.9559999999999998,0.09776,3208.8586000000005,333.0,16.65,1694.089
ARM-like,bursty,100,Contextual Bandit RL,1862.79056,1894.8918600000002,623.9602000000001,0.99838,0.031143999999999998,90.0,0.9,0.08130000000000001,6099.2504,629.6,31.48,3215.3478
ARM-like,bursty,100,PRM,1362.41938,1394.5207,1335.81162,0.99838,0.031143999999999998,90.8,0.908,0.07178,6099.2504,113.6,5.680000000000001,3215.3478
ARM-like,bursty,100,PRR,1404.7592799999998,1436.86062,1196.2301400000001,0.99838,0.031143999999999998,94.2,0.942,0.05804,6099.2504,691.8,34.589999999999996,3215.3478
ARM-like,bursty,100,Proposed Hybrid,1592.87572,1624.97704,848.1477000000001,0.99838,0.031143999999999998,97.8,0.978,0.055220000000000005,6099.2504,650.8,32.54,3215.3478
ARM-like,cpu_heavy,5,Contextual Bandit RL,133.64112,182.4703,28.61384,0.9877800000000001,0.020450000000000003,4.4,0.8800000000000001,0.63138,579.8464,32.2,1.61,247.23200000000003
ARM-like,cpu_heavy,5,PRM,90.03594000000001,138.86514,68.3955,0.9877800000000001,0.020450000000000003,3.2,0.64,0.25556,579.8464,5.0,0.25,247.23200000000003
ARM-like,cpu_heavy,5,PRR,92.1442,140.97336,55.08538,0.9877800000000001,0.020450000000000003,3.4,0.6799999999999999,0.35781999999999997,579.8464,15.2,0.76,247.23200000000003
ARM-like,cpu_heavy,5,Proposed Hybrid,123.18699999999998,172.0162,27.80772,0.9877800000000001,0.020450000000000003,4.6,0.9199999999999999,0.65022,579.8464,35.8,1.7899999999999998,247.23200000000003
ARM-like,cpu_heavy,10,Contextual Bandit RL,319.59238,368.79076,63.16510000000001,0.9937799999999999,0.020256000000000003,9.2,0.9199999999999999,0.30060000000000003,1168.461,86.4,4.32,495.06980000000004
ARM-like,cpu_heavy,10,PRM,203.97732000000002,253.17568,181.0997,0.9937799999999999,0.020256000000000003,8.2,0.8200000000000001,0.14308,1168.461,10.2,0.51,495.06980000000004
ARM-like,cpu_heavy,10,PRR,215.91028,265.10862,167.95194,0.9937799999999999,0.020256000000000003,8.4,0.8400000000000001,0.22766000000000003,1168.461,53.0,2.65,495.06980000000004
ARM-like,cpu_heavy,10,Proposed Hybrid,273.69662,322.89495999999997,77.78794,0.9937799999999999,0.020256000000000003,8.8,0.8800000000000001,0.29718,1168.461,80.4,4.0200000000000005,495.06980000000004
ARM-like,cpu_heavy,20,Contextual Bandit RL,721.83318,770.65976,135.78966,0.9968199999999999,0.020438,19.4,0.97,0.10882,2319.2628,192.8,9.64,979.6178
ARM-like,cpu_heavy,20,PRM,436.13527999999997,484.96190000000007,409.21578,0.9968199999999999,0.020438,18.0,0.9,0.08682,2319.2628,21.2,1.06,979.6178
