workload_type,num_vms,cpu_config,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
bursty,5,ARM-like,Contextual Bandit RL,82.3354,115.0478,17.2239,0.9709,0.0308,0.8000,0.6633,310.7686,21.2000,1.0600
bursty,5,ARM-like,PRM,53.1660,85.8784,39.6206,0.9709,0.0308,0.5600,0.3225,310.7686,5.0000,0.2500
bursty,5,ARM-like,PRR,53.5599,86.2723,31.8365,0.9709,0.0308,0.6000,0.4516,310.7686,10.6000,0.5300
bursty,5,ARM-like,Proposed Hybrid,64.6780,97.3905,23.8681,0.9709,0.0308,0.8800,0.6548,310.7686,21.6000,1.0800
bursty,10,ARM-like,Contextual Bandit RL,186.3992,219.5545,42.9573,0.9846,0.0300,0.9000,0.2521,629.9504,56.0000,2.8000
bursty,10,ARM-like,PRM,121.0552,154.2105,103.8738,0.9846,0.0300,0.6800,0.2175,629.9504,10.8000,0.5400
bursty,10,ARM-like,PRR,126.5018,159.6570,96.6719,0.9846,0.0300,0.8000,0.2970,629.9504,29.8000,1.4900
bursty,10,ARM-like,Proposed Hybrid,157.7547,190.9100,50.3140,0.9846,0.0300,0.9000,0.3301,629.9504,54.8000,2.7400
bursty,20,ARM-like,Contextual Bandit RL,388.5401,421.2500,81.1436,0.9920,0.0304,0.9200,0.1323,1242.9756,124.2000,6.2100
bursty,20,ARM-like,PRM,259.1296,291.8395,238.7543,0.9920,0.0304,0.8000,0.1434,1242.9756,22.4000,1.1200
bursty,20,ARM-like,PRR,270.8654,303.5753,213.8102,0.9920,0.0304,0.8600,0.2681,1242.9756,99.2000,4.9600
bursty,20,ARM-like,Proposed Hybrid,325.7335,358.4434,127.4192,0.9920,0.0304,0.9400,0.1893,1242.9756,122.2000,6.1100
bursty,50,ARM-like,Contextual Bandit RL,1002.6507,1036.4282,286.0628,0.9969,0.0296,0.9040,0.0920,3208.8586,328.0000,16.4000
bursty,50,ARM-like,PRM,706.9021,740.6795,678.5212,0.9969,0.0296,0.8680,0.0969,3208.8586,57.8000,2.8900
bursty,50,ARM-like,PRR,733.1640,766.9414,605.0752,0.9969,0.0296,0.9320,0.1158,3208.8586,342.4000,17.1200
bursty,50,ARM-like,Proposed Hybrid,826.6035,860.3810,359.5460,0.9969,0.0296,0.9560,0.0978,3208.8586,333.0000,16.6500
bursty,100,ARM-like,Contextual Bandit RL,1862.7906,1894.8919,623.9602,0.9984,0.0311,0.9000,0.0813,6099.2504,629.6000,31.4800
bursty,100,ARM-like,PRM,1362.4194,1394.5207,1335.8116,0.9984,0.0311,0.9080,0.0718,6099.2504,113.6000,5.6800
bursty,100,ARM-like,PRR,1404.7593,1436.8606,1196.2301,0.9984,0.0311,0.9420,0.0580,6099.2504,691.8000,34.5900
bursty,100,ARM-like,Proposed Hybrid,1592.8757,1624.9770,848.1477,0.9984,0.0311,0.9780,0.0552,6099.2504,650.8000,32.5400
cpu_heavy,5,ARM-like,Contextual Bandit RL,133.6411,182.4703,28.6138,0.9878,0.0205,0.8800,0.6314,579.8464,32.2000,1.6100
cpu_heavy,5,ARM-like,PRM,90.0359,138.8651,68.3955,0.9878,0.0205,0.6400,0.2556,579.8464,5.0000,0.2500
cpu_heavy,5,ARM-like,PRR,92.1442,140.9734,55.0854,0.9878,0.0205,0.6800,0.3578,579.8464,15.2000,0.7600
cpu_heavy,5,ARM-like,Proposed Hybrid,123.1870,172.0162,27.8077,0.9878,0.0205,0.9200,0.6502,579.8464,35.8000,1.7900
cpu_heavy,10,ARM-like,Contextual Bandit RL,319.5924,368.7908,63.1651,0.9938,0.0203,0.9200,0.3006,1168.4610,86.4000,4.3200
cpu_heavy,10,ARM-like,PRM,203.9773,253.1757,181.0997,0.9938,0.0203,0.8200,0.1431,1168.4610,10.2000,0.5100
cpu_heavy,10,ARM-like,PRR,215.9103,265.1086,167.9519,0.9938,0.0203,0.8400,0.2277,1168.4610,53.0000,2.6500
cpu_heavy,10,ARM-like,Proposed Hybrid,273.6966,322.8950,77.7879,0.9938,0.0203,0.8800,0.2972,1168.4610,80.4000,4.0200
cpu_heavy,20,ARM-like,Contextual Bandit RL,721.8332,770.6598,135.7897,0.9968,0.0204,0.9700,0.1088,2319.2628,192.8000,9.6400
cpu_heavy,20,ARM-like,PRM,436.1353,484.9619,409.2158,0.9968,0.0204,0.9000,0.0868,2319.2628,21.2000,1.0600
