scheduler,cpu_config,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
PRR,ARM-like,5,1.3128,8.2493,1.3128,0.7712,0.11118,0,0.0,0.7662,32.948,4,0.2,44.974,light,1
PRM,ARM-like,5,1.3128,8.2493,1.3128,0.7712,0.11118,0,0.0,0.7662,32.948,4,0.2,44.974,light,1
Contextual Bandit RL,ARM-like,5,1.3128,8.2493,1.3128,0.7712,0.11118,0,0.0,0.7662,32.948,4,0.2,44.974,light,1
Proposed Hybrid,ARM-like,5,1.3128,8.2493,1.3128,0.7712,0.11118,0,0.0,0.7662,32.948,4,0.2,44.974,light,1
PRR,ARM-like,5,-0.0,4.9906,0.0,0.4682,0.09383,0,0.0,1.0,23.705,4,0.2,53.291,light,2
PRM,ARM-like,5,-0.0,4.9906,0.0,0.4682,0.09383,0,0.0,1.0,23.705,4,0.2,53.291,light,2
Contextual Bandit RL,ARM-like,5,-0.0,4.9906,0.0,0.4682,0.09383,0,0.0,1.0,23.705,4,0.2,53.291,light,2
Proposed Hybrid,ARM-like,5,-0.0,4.9906,0.0,0.4682,0.09383,0,0.0,1.0,23.705,4,0.2,53.291,light,2
PRR,ARM-like,5,-0.0,5.68,0.0,0.5669,0.09981,0,0.0,1.0,26.98,4,0.2,50.094,light,3
PRM,ARM-like,5,-0.0,5.68,0.0,0.5669,0.09981,0,0.0,1.0,26.98,4,0.2,50.094,light,3
Contextual Bandit RL,ARM-like,5,-0.0,5.68,0.0,0.5669,0.09981,0,0.0,1.0,26.98,4,0.2,50.094,light,3
Proposed Hybrid,ARM-like,5,-0.0,5.68,0.0,0.5669,0.09981,0,0.0,1.0,26.98,4,0.2,50.094,light,3
PRR,ARM-like,5,-0.0,6.8612,0.0,0.5542,0.08078,0,0.0,1.0,32.591,4,0.2,61.897,light,4
PRM,ARM-like,5,-0.0,6.8612,0.0,0.5542,0.08078,0,0.0,1.0,32.591,4,0.2,61.897,light,4
Contextual Bandit RL,ARM-like,5,-0.0,6.8612,0.0,0.5542,0.08078,0,0.0,1.0,32.591,4,0.2,61.897,light,4
Proposed Hybrid,ARM-like,5,-0.0,6.8612,0.0,0.5542,0.08078,0,0.0,1.0,32.591,4,0.2,61.897,light,4
PRR,ARM-like,5,-0.0,6.2682,0.0,0.4792,0.07646,0,0.0,1.0,29.774,4,0.2,65.396,light,5
PRM,ARM-like,5,-0.0,6.2682,0.0,0.4792,0.07646,0,0.0,1.0,29.774,4,0.2,65.396,light,5
Contextual Bandit RL,ARM-like,5,-0.0,6.2682,0.0,0.4792,0.07646,0,0.0,1.0,29.774,4,0.2,65.396,light,5
Proposed Hybrid,ARM-like,5,-0.0,6.2682,0.0,0.4792,0.07646,0,0.0,1.0,29.774,4,0.2,65.396,light,5
PRR,ARM-like,5,35.334,52.6775,14.0281,0.9448,0.05447,4,0.8,0.3824,123.573,11,0.55,91.788,normal,1
PRM,ARM-like,5,30.5434,47.8869,4.1411,0.9448,0.05447,4,0.8,0.4733,123.573,7,0.35,91.788,normal,1
Contextual Bandit RL,ARM-like,5,50.8964,68.2399,2.3058,0.9448,0.05447,5,1.0,0.8911,123.573,16,0.8,91.788,normal,1
Proposed Hybrid,ARM-like,5,45.5693,62.9128,12.6822,0.9448,0.05447,5,1.0,0.8319,123.573,18,0.9,91.788,normal,1
PRR,ARM-like,5,12.3626,24.8426,8.6849,0.9459,0.07579,2,0.4,0.6982,88.92,6,0.3,65.97,normal,2
PRM,ARM-like,5,12.7438,25.2238,10.9038,0.9459,0.07579,2,0.4,0.6931,88.92,5,0.25,65.97,normal,2
Contextual Bandit RL,ARM-like,5,14.6355,27.1155,5.9155,0.9459,0.07579,3,0.6,0.3542,88.92,7,0.35,65.97,normal,2
Proposed Hybrid,ARM-like,5,13.3038,25.7838,9.6261,0.9459,0.07579,2,0.4,0.6758,88.92,6,0.3,65.97,normal,2
PRR,ARM-like,5,27.424,41.6216,7.9511,0.9658,0.06803,4,0.8,0.4823,101.158,9,0.45,73.498,normal,3
PRM,ARM-like,5,25.9793,40.1769,16.0028,0.9658,0.06803,3,0.6,0.3047,101.158,5,0.25,73.498,normal,3
Contextual Bandit RL,ARM-like,5,45.6028,59.8005,2.1981,0.9658,0.06803,5,1.0,0.9552,101.158,16,0.8,73.498,normal,3
Proposed Hybrid,ARM-like,5,25.7416,39.9393,10.8875,0.9658,0.06803,4,0.8,0.8917,101.158,13,0.65,73.498,normal,3
PRR,ARM-like,5,23.7776,40.9329,20.7965,0.918,0.05351,2,0.4,0.7953,122.231,8,0.4,93.436,normal,4
PRM,ARM-like,5,25.6506,42.8059,25.6506,0.918,0.05351,2,0.4,0.2702,122.231,4,0.2,93.436,normal,4
Contextual Bandit RL,ARM-like,5,28.4835,45.6388,14.8459,0.918,0.05351,3,0.6,0.7416,122.231,12,0.6,93.436,normal,4
Proposed Hybrid,ARM-like,5,30.3659,47.5212,13.1212,0.918,0.05351,3,0.6,0.2482,122.231,12,0.6,93.436,normal,4
PRR,ARM-like,5,22.276,37.9489,8.5254,0.9198,0.05869,3,0.6,0.4821,111.67,7,0.35,85.195,normal,5
PRM,ARM-like,5,18.2195,33.8925,14.2101,0.9198,0.05869,3,0.6,0.4486,111.67,6,0.3,85.195,normal,5
Contextual Bandit RL,ARM-like,5,22.9254,38.5984,10.2831,0.9198,0.05869,4,0.8,0.3048,111.67,11,0.55,85.195,normal,5
Proposed Hybrid,ARM-like,5,22.6431,38.316,12.3301,0.9198,0.05869,4,0.8,0.3914,111.67,9,0.45,85.195,normal,5
PRR,ARM-like,5,113.5081,167.6022,66.4775,0.9888,0.01828,4,0.8,0.2283,642.368,20,1.0,273.521,cpu_heavy,1
PRM,ARM-like,5,95.0916,149.1858,38.5011,0.9888,0.01828,4,0.8,0.2836,642.368,6,0.3,273.521,cpu_heavy,1
Contextual Bandit RL,ARM-like,5,192.0258,246.1199,9.1105,0.9888,0.01828,5,1.0,0.9895,642.368,51,2.55,273.521,cpu_heavy,1
Proposed Hybrid,ARM-like,5,153.3622,207.4564,22.2869,0.9888,0.01828,5,1.0,0.8782,642.368,53,2.65,273.521,cpu_heavy,1
PRR,ARM-like,5,65.4264,106.5487,58.9511,0.9901,0.02408,3,0.6,0.248,488.328,5,0.25,207.662,cpu_heavy,2
PRM,ARM-like,5,68.9558,110.0781,62.4805,0.9901,0.02408,3,0.6,0.246,488.328,5,0.25,207.662,cpu_heavy,2
Contextual Bandit RL,ARM-like,5,108.7605,149.8828,37.1134,0.9901,0.02408,5,1.0,0.4993,488.328,27,1.35,207.662,cpu_heavy,2
Proposed Hybrid,ARM-like,5,87.0734,128.1958,42.6193,0.9901,0.02408,4,0.8,0.4353,488.328,28,1.4,207.662,cpu_heavy,2
PRR,ARM-like,5,95.8612,141.5647,26.2518,0.9942,0.02175,4,0.8,0.25,542.729,22,1.1,229.858,cpu_heavy,3
PRM,ARM-like,5,99.1082,144.8118,67.8,0.9942,0.02175,3,0.6,0.2533,542.729,5,0.25,229.858,cpu_heavy,3
Contextual Bandit RL,ARM-like,5,118.7882,164.4918,14.3647,0.9942,0.02175,4,0.8,0.6697,542.729,21,1.05,229.858,cpu_heavy,3
Proposed Hybrid,ARM-like,5,127.4188,173.1224,20.0118,0.9942,0.02175,5,1.0,0.9495,542.729,36,1.8,229.858,cpu_heavy,3
PRR,ARM-like,5,103.8826,157.4732,87.7767,0.9825,0.01833,3,0.6,0.7624,636.388,22,1.1,272.723,cpu_heavy,4
PRM,ARM-like,5,105.4355,159.0261,105.4355,0.9825,0.01833,3,0.6,0.217,636.388,4,0.2,272.723,cpu_heavy,4
Contextual Bandit RL,ARM-like,5,109.5296,163.1202,56.1202,0.9825,0.01833,3,0.6,0.5046,636.388,18,0.9,272.723,cpu_heavy,4
Proposed Hybrid,ARM-like,5,133.0591,186.6496,34.3485,0.9825,0.01833,4,0.8,0.4931,636.388,34,1.7,272.723,cpu_heavy,4
PRR,ARM-like,5,82.0427,131.678,35.9698,0.9833,0.01981,3,0.6,0.3004,589.419,7,0.35,252.396,cpu_heavy,5
PRM,ARM-like,5,81.5886,131.2239,67.7604,0.9833,0.01981,3,0.6,0.2779,589.419,5,0.25,252.396,cpu_heavy,5
Contextual Bandit RL,ARM-like,5,139.1015,188.7368,26.3604,0.9833,0.01981,5,1.0,0.4938,589.419,44,2.2,252.396,cpu_heavy,5
Proposed Hybrid,ARM-like,5,115.0215,164.6568,19.7721,0.9833,0.01981,5,1.0,0.495,589.419,28,1.4,252.396,cpu_heavy,5
PRR,ARM-like,5,78.1335,117.1641,47.4841,0.9744,0.02497,4,0.8,0.2249,370.791,12,0.6,200.273,bursty,1
PRM,ARM-like,5,60.9288,99.9594,24.0771,0.9744,0.02497,3,0.6,0.2901,370.791,6,0.3,200.273,bursty,1
Contextual Bandit RL,ARM-like,5,134.3241,173.3547,7.0653,0.9744,0.02497,5,1.0,0.9757,370.791,35,1.75,200.273,bursty,1
Proposed Hybrid,ARM-like,5,98.1006,137.1312,28.7124,0.9744,0.02497,4,0.8,0.7635,370.791,35,1.75,200.273,bursty,1
PRR,ARM-like,5,23.5301,46.9936,20.9372,0.9782,0.04169,1,0.2,0.4785,222.904,5,0.25,119.938,bursty,2
PRM,ARM-like,5,27.7654,51.2289,25.1725,0.9782,0.04169,2,0.4,0.4185,222.904,5,0.25,119.938,bursty,2
Contextual Bandit RL,ARM-like,5,54.6313,78.0948,17.5042,0.9782,0.04169,4,0.8,0.5942,222.904,13,0.65,119.938,bursty,2
Proposed Hybrid,ARM-like,5,31.0595,54.5231,18.1184,0.9782,0.04169,4,0.8,0.6378,222.904,13,0.65,119.938,bursty,2
PRR,ARM-like,5,57.5426,86.5049,15.4696,0.9941,0.03432,4,0.8,0.3357,275.142,15,0.75,145.672,bursty,3
PRM,ARM-like,5,64.592,93.5544,42.552,0.9941,0.03432,3,0.6,0.2423,275.142,5,0.25,145.672,bursty,3
Contextual Bandit RL,ARM-like,5,88.7732,117.7355,7.512,0.9941,0.03432,4,0.8,0.816,275.142,19,0.95,145.672,bursty,3
Proposed Hybrid,ARM-like,5,61.8744,90.8367,16.9238,0.9941,0.03432,5,1.0,0.9057,275.142,21,1.05,145.672,bursty,3
PRR,ARM-like,5,64.3379,102.7638,55.2696,0.9532,0.02481,3,0.6,0.7458,365.046,14,0.7,201.559,bursty,4
PRM,ARM-like,5,71.6602,110.0861,71.6602,0.9532,0.02481,3,0.6,0.2264,365.046,4,0.2,201.559,bursty,4
Contextual Bandit RL,ARM-like,5,77.0649,115.4908,43.1614,0.9532,0.02481,3,0.6,0.6352,365.046,19,0.95,201.559,bursty,4
Proposed Hybrid,ARM-like,5,78.4555,116.8814,29.8132,0.9532,0.02481,4,0.8,0.307,365.046,20,1.0,201.559,bursty,4
PRR,ARM-like,5,44.2552,77.9352,20.0222,0.9544,0.02834,3,0.6,0.4732,319.96,7,0.35,176.45,bursty,5
PRM,ARM-like,5,40.8834,74.5634,34.6411,0.9544,0.02834,3,0.6,0.4353,319.96,5,0.25,176.45,bursty,5
Contextual Bandit RL,ARM-like,5,56.8834,90.5634,10.8764,0.9544,0.02834,4,0.8,0.2956,319.96,20,1.0,176.45,bursty,5
Proposed Hybrid,ARM-like,5,53.8999,87.5799,25.7728,0.9544,0.02834,5,1.0,0.6602,319.96,19,0.95,176.45,bursty,5
PRR,ARM-like,5,6.0847,25.0541,6.0847,0.9392,0.04951,2,0.4,0.5302,162.188,4,0.2,100.987,mixed,1
PRM,ARM-like,5,17.32,36.2894,17.32,0.9392,0.04951,2,0.4,0.4895,162.188,4,0.2,100.987,mixed,1
Contextual Bandit RL,ARM-like,5,8.12,27.0894,5.6965,0.9392,0.04951,2,0.4,0.4004,162.188,6,0.3,100.987,mixed,1
Proposed Hybrid,ARM-like,5,6.8282,25.7976,6.8282,0.9392,0.04951,2,0.4,0.4987,162.188,4,0.2,100.987,mixed,1
PRR,ARM-like,5,27.7965,42.2506,24.2576,0.9584,0.0663,3,0.6,0.4152,123.583,5,0.25,75.411,mixed,2
PRM,ARM-like,5,23.0929,37.5471,14.6576,0.9584,0.0663,2,0.4,0.5051,123.583,6,0.3,75.411,mixed,2
Contextual Bandit RL,ARM-like,5,14.6365,29.0906,3.7212,0.9584,0.0663,3,0.6,0.7307,123.583,7,0.35,75.411,mixed,2
Proposed Hybrid,ARM-like,5,22.4224,36.8765,17.3259,0.9584,0.0663,3,0.6,0.6167,123.583,8,0.4,75.411,mixed,2
PRR,ARM-like,5,6.8167,17.1132,2.8779,0.9804,0.09522,1,0.2,0.5814,88.035,5,0.25,52.512,mixed,3
PRM,ARM-like,5,6.8167,17.1132,2.8779,0.9804,0.09522,1,0.2,0.5814,88.035,5,0.25,52.512,mixed,3
Contextual Bandit RL,ARM-like,5,6.8167,17.1132,2.8779,0.9804,0.09522,1,0.2,0.5814,88.035,5,0.25,52.512,mixed,3
Proposed Hybrid,ARM-like,5,7.7579,18.0544,2.8779,0.9804,0.09522,2,0.4,0.5632,88.035,7,0.35,52.512,mixed,3
PRR,ARM-like,5,17.2026,29.9885,14.932,0.8496,0.06645,3,0.6,0.2997,109.319,7,0.35,75.249,mixed,4
PRM,ARM-like,5,20.5508,33.3367,8.5814,0.8496,0.06645,3,0.6,0.574,109.319,6,0.3,75.249,mixed,4
Contextual Bandit RL,ARM-like,5,23.9579,36.7438,9.7861,0.8496,0.06645,3,0.6,0.6266,109.319,11,0.55,75.249,mixed,4
Proposed Hybrid,ARM-like,5,25.0614,37.8473,11.3649,0.8496,0.06645,4,0.8,0.9834,109.319,9,0.45,75.249,mixed,4
PRR,ARM-like,5,31.3544,48.8838,27.592,0.9007,0.05138,3,0.6,0.3139,149.876,8,0.4,97.307,mixed,5
PRM,ARM-like,5,39.8202,57.3496,39.8202,0.9007,0.05138,4,0.8,0.2391,149.876,4,0.2,97.307,mixed,5
Contextual Bandit RL,ARM-like,5,35.3379,52.8673,30.5473,0.9007,0.05138,4,0.8,0.3524,149.876,8,0.4,97.307,mixed,5
Proposed Hybrid,ARM-like,5,26.192,43.7214,20.4979,0.9007,0.05138,4,0.8,0.7405,149.876,7,0.35,97.307,mixed,5
PRR,ARM-like,10,1.0371,7.8135,1.0371,0.6847,0.10104,1,0.1,0.8032,64.376,9,0.45,98.971,light,1
PRM,ARM-like,10,1.0371,7.8135,1.0371,0.6847,0.10104,1,0.1,0.8032,64.376,9,0.45,98.971,light,1
Contextual Bandit RL,ARM-like,10,1.0371,7.8135,1.0371,0.6847,0.10104,1,0.1,0.8032,64.376,9,0.45,98.971,light,1
Proposed Hybrid,ARM-like,10,1.0371,7.8135,1.0371,0.6847,0.10104,1,0.1,0.8032,64.376,9,0.45,98.971,light,1
PRR,ARM-like,10,-0.0,5.5765,0.0,0.4823,0.08649,0,0.0,1.0,52.976,9,0.45,115.622,light,2
PRM,ARM-like,10,-0.0,5.5765,0.0,0.4823,0.08649,0,0.0,1.0,52.976,9,0.45,115.622,light,2
Contextual Bandit RL,ARM-like,10,-0.0,5.5765,0.0,0.4823,0.08649,0,0.0,1.0,52.976,9,0.45,115.622,light,2
Proposed Hybrid,ARM-like,10,-0.0,5.5765,0.0,0.4823,0.08649,0,0.0,1.0,52.976,9,0.45,115.622,light,2
PRR,ARM-like,10,0.0949,6.4255,0.0949,0.6036,0.09535,0,0.0,0.977,60.141,9,0.45,104.876,light,3
PRM,ARM-like,10,0.0949,6.4255,0.0949,0.6036,0.09535,0,0.0,0.977,60.141,9,0.45,104.876,light,3
Contextual Bandit RL,ARM-like,10,0.0949,6.4255,0.0949,0.6036,0.09535,0,0.0,0.977,60.141,9,0.45,104.876,light,3
Proposed Hybrid,ARM-like,10,0.0949,6.4255,0.0949,0.6036,0.09535,0,0.0,0.977,60.141,9,0.45,104.876,light,3
PRR,ARM-like,10,0.0307,6.2578,0.0307,0.5328,0.08555,0,0.0,0.9948,59.157,9,0.45,116.884,light,4
PRM,ARM-like,10,0.0307,6.2578,0.0307,0.5328,0.08555,0,0.0,0.9948,59.157,9,0.45,116.884,light,4
Contextual Bandit RL,ARM-like,10,0.0307,6.2578,0.0307,0.5328,0.08555,0,0.0,0.9948,59.157,9,0.45,116.884,light,4
Proposed Hybrid,ARM-like,10,0.0307,6.2578,0.0307,0.5328,0.08555,0,0.0,0.9948,59.157,9,0.45,116.884,light,4
PRR,ARM-like,10,0.0,6.1035,0.0,0.499,0.08176,0,0.0,1.0,57.984,9,0.45,122.312,light,5
PRM,ARM-like,10,0.0,6.1035,0.0,0.499,0.08176,0,0.0,1.0,57.984,9,0.45,122.312,light,5
Contextual Bandit RL,ARM-like,10,0.0,6.1035,0.0,0.499,0.08176,0,0.0,1.0,57.984,9,0.45,122.312,light,5
Proposed Hybrid,ARM-like,10,0.0,6.1035,0.0,0.499,0.08176,0,0.0,1.0,57.984,9,0.45,122.312,light,5
PRR,ARM-like,10,69.6966,86.6389,39.0225,0.9709,0.05731,8,0.8,0.2966,241.429,17,0.85,174.494,normal,1
PRM,ARM-like,10,60.6484,77.5907,29.7107,0.9709,0.05731,7,0.7,0.3654,241.429,13,0.65,174.494,normal,1
Contextual Bandit RL,ARM-like,10,94.4601,111.4025,5.286,0.9709,0.05731,10,1.0,0.6845,241.429,34,1.7,174.494,normal,1
Proposed Hybrid,ARM-like,10,85.4754,102.4178,35.1848,0.9709,0.05731,10,1.0,0.626,241.429,29,1.45,174.494,normal,1
PRR,ARM-like,10,34.0518,47.9929,18.2129,0.975,0.06994,4,0.4,0.3723,198.662,19,0.95,142.982,normal,2
PRM,ARM-like,10,34.4035,48.3447,29.0188,0.975,0.06994,4,0.4,0.344,198.662,12,0.6,142.982,normal,2
Contextual Bandit RL,ARM-like,10,35.2024,49.1435,18.6035,0.975,0.06994,6,0.6,0.3092,198.662,20,1.0,142.982,normal,2
Proposed Hybrid,ARM-like,10,32.0576,45.9988,24.6047,0.975,0.06994,5,0.5,0.5492,198.662,14,0.7,142.982,normal,2
PRR,ARM-like,10,54.7914,70.6172,35.1455,0.9844,0.0622,8,0.8,0.3748,225.519,22,1.1,160.769,normal,3
PRM,ARM-like,10,59.5161,75.3419,45.6266,0.9844,0.0622,7,0.7,0.213,225.519,11,0.55,160.769,normal,3
