scheduler,cpu_config,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
PRR,ARM-like,5,35.334,52.6775,14.0281,0.9448,0.05447,4,0.8,0.3824,123.573,11,0.55,91.788
PRM,ARM-like,5,30.5434,47.8869,4.1411,0.9448,0.05447,4,0.8,0.4733,123.573,7,0.35,91.788
Contextual Bandit RL,ARM-like,5,50.8964,68.2399,2.3058,0.9448,0.05447,5,1.0,0.8911,123.573,16,0.8,91.788
Proposed Hybrid,ARM-like,5,45.5693,62.9128,12.6822,0.9448,0.05447,5,1.0,0.8319,123.573,18,0.9,91.788
PRR,x86-like,5,30.234,44.976,18.078,0.9356,0.06347,4,0.8,0.3331,110.565,9,0.45,78.78
PRM,x86-like,5,25.696,40.438,10.66,0.9356,0.06347,3,0.6,0.3859,110.565,6,0.3,78.78
Contextual Bandit RL,x86-like,5,39.796,54.538,6.494,0.9356,0.06347,5,1.0,0.8961,110.565,15,0.75,78.78
Proposed Hybrid,x86-like,5,35.302,50.044,20.27,0.9356,0.06347,4,0.8,0.8416,110.565,12,0.6,78.78
PRR,RISC-V-like,5,33.481,49.5049,20.2679,0.9405,0.05869,4,0.8,0.3559,120.179,9,0.45,85.19
PRM,RISC-V-like,5,28.5483,44.5723,12.2049,0.9405,0.05869,3,0.6,0.4319,120.179,6,0.3,85.19
Contextual Bandit RL,RISC-V-like,5,45.1244,61.1483,6.807,0.9405,0.05869,5,1.0,0.8943,120.179,15,0.75,85.19
Proposed Hybrid,RISC-V-like,5,38.9897,55.0136,22.6505,0.9405,0.05869,4,0.8,0.8495,120.179,12,0.6,85.19
