workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
bursty,5,Contextual Bandit RL,67.0572,94.8628,15.1416,0.9659599999999999,0.036092,3.8,0.76,0.73624,278.056,20.2,1.01,144.244
bursty,5,PRM,44.6368,72.44239999999999,34.6576,0.9659599999999999,0.036092,2.4,0.48,0.32480000000000003,278.056,5.0,0.25,144.244
bursty,5,PRR,45.443200000000004,73.24879999999999,26.826800000000002,0.9659599999999999,0.036092,2.8,0.5599999999999999,0.43088,278.056,10.8,0.54,144.244
bursty,5,Proposed Hybrid,51.662800000000004,79.4684,18.3784,0.9659599999999999,0.036092,3.0,0.6,0.63462,278.056,19.0,0.95,144.244
bursty,10,Contextual Bandit RL,151.7092,179.8912,29.6372,0.9819800000000001,0.035162,8.6,0.86,0.26452,563.64,53.6,2.68,287.036
bursty,10,PRM,100.2628,128.44480000000001,88.1298,0.9819800000000001,0.035162,6.4,0.6399999999999999,0.23074000000000003,563.64,10.6,0.53,287.036
bursty,10,PRR,104.19380000000001,132.3758,80.3856,0.9819800000000001,0.035162,7.4,0.74,0.30098,563.64,29.2,1.46,287.036
bursty,10,Proposed Hybrid,122.22080000000001,150.4028,46.9026,0.9819800000000001,0.035162,8.0,0.8,0.34978000000000004,563.64,47.2,2.3600000000000003,287.036
bursty,20,Contextual Bandit RL,311.3467,339.1501,69.4903,0.9906200000000001,0.035742,18.0,0.9,0.16077999999999998,1112.136,118.8,5.9399999999999995,561.284
bursty,20,PRM,213.75190000000003,241.5553,198.8742,0.9906200000000001,0.035742,15.6,0.78,0.183,1112.136,22.4,1.1199999999999999,561.284
bursty,20,PRR,221.64209999999997,249.44549999999998,177.1112,0.9906200000000001,0.035742,15.8,0.79,0.24918,1112.136,96.4,4.82,561.284
bursty,20,Proposed Hybrid,260.0324,287.8358,100.78970000000001,0.9906200000000001,0.035742,17.8,0.89,0.23258,1112.136,114.6,5.7299999999999995,561.284
bursty,50,Contextual Bandit RL,834.1905999999999,862.90144,227.6072,0.99634,0.034772000000000004,44.2,0.884,0.10538,2871.084,320.0,16.0,1440.758
bursty,50,PRM,583.3727200000001,612.08356,559.44888,0.99634,0.034772000000000004,42.0,0.8400000000000001,0.11199999999999999,2871.084,57.8,2.8899999999999997,1440.758
bursty,50,PRR,604.2774400000001,632.98828,500.30255999999997,0.99634,0.034772000000000004,45.0,0.9,0.11444000000000001,2871.084,336.4,16.82,1440.758
bursty,50,Proposed Hybrid,668.48884,697.19968,289.82543999999996,0.99634,0.034772000000000004,46.2,0.924,0.12038,2871.084,325.6,16.28,1440.758
bursty,100,Contextual Bandit RL,1509.9353999999998,1537.22152,509.48978,0.9981199999999999,0.036628,88.0,0.8800000000000001,0.08736000000000001,5457.224,613.6,30.68,2733.828
