workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
bursty,5,Contextual Bandit RL,67.0572,94.8628,15.1416,0.9660,0.0361,0.7600,0.7362,278.0560,20.2000,1.0100
bursty,5,PRM,44.6368,72.4424,34.6576,0.9660,0.0361,0.4800,0.3248,278.0560,5.0000,0.2500
bursty,5,PRR,45.4432,73.2488,26.8268,0.9660,0.0361,0.5600,0.4309,278.0560,10.8000,0.5400
bursty,5,Proposed Hybrid,51.6628,79.4684,18.3784,0.9660,0.0361,0.6000,0.6346,278.0560,19.0000,0.9500
bursty,10,Contextual Bandit RL,151.7092,179.8912,29.6372,0.9820,0.0352,0.8600,0.2645,563.6400,53.6000,2.6800
bursty,10,PRM,100.2628,128.4448,88.1298,0.9820,0.0352,0.6400,0.2307,563.6400,10.6000,0.5300
bursty,10,PRR,104.1938,132.3758,80.3856,0.9820,0.0352,0.7400,0.3010,563.6400,29.2000,1.4600
bursty,10,Proposed Hybrid,122.2208,150.4028,46.9026,0.9820,0.0352,0.8000,0.3498,563.6400,47.2000,2.3600
bursty,20,Contextual Bandit RL,311.3467,339.1501,69.4903,0.9906,0.0357,0.9000,0.1608,1112.1360,118.8000,5.9400
bursty,20,PRM,213.7519,241.5553,198.8742,0.9906,0.0357,0.7800,0.1830,1112.1360,22.4000,1.1200
bursty,20,PRR,221.6421,249.4455,177.1112,0.9906,0.0357,0.7900,0.2492,1112.1360,96.4000,4.8200
bursty,20,Proposed Hybrid,260.0324,287.8358,100.7897,0.9906,0.0357,0.8900,0.2326,1112.1360,114.6000,5.7300
bursty,50,Contextual Bandit RL,834.1906,862.9014,227.6072,0.9963,0.0348,0.8840,0.1054,2871.0840,320.0000,16.0000
bursty,50,PRM,583.3727,612.0836,559.4489,0.9963,0.0348,0.8400,0.1120,2871.0840,57.8000,2.8900
bursty,50,PRR,604.2774,632.9883,500.3026,0.9963,0.0348,0.9000,0.1144,2871.0840,336.4000,16.8200
bursty,50,Proposed Hybrid,668.4888,697.1997,289.8254,0.9963,0.0348,0.9240,0.1204,2871.0840,325.6000,16.2800
bursty,100,Contextual Bandit RL,1509.9354,1537.2215,509.4898,0.9981,0.0366,0.8800,0.0874,5457.2240,613.6000,30.6800
bursty,100,PRM,1122.4749,1149.7610,1099.2603,0.9981,0.0366,0.8880,0.0799,5457.2240,114.0000,5.7000
bursty,100,PRR,1156.6318,1183.9179,986.4974,0.9981,0.0366,0.9220,0.0685,5457.2240,681.0000,34.0500
bursty,100,Proposed Hybrid,1317.4863,1344.7724,700.2933,0.9981,0.0366,0.9560,0.0593,5457.2240,630.6000,31.5300
cpu_heavy,5,Contextual Bandit RL,110.4836,151.9884,22.1312,0.9857,0.0240,0.8400,0.7214,518.8100,30.4000,1.5200
cpu_heavy,5,PRM,75.6248,117.1296,57.2304,0.9857,0.0240,0.5200,0.2486,518.8100,5.0000,0.2500
cpu_heavy,5,PRR,77.3972,118.9020,47.3452,0.9857,0.0240,0.6400,0.3351,518.8100,15.0000,0.7500
cpu_heavy,5,Proposed Hybrid,97.6120,139.1168,23.8016,0.9857,0.0240,0.7600,0.6086,518.8100,28.6000,1.4300
cpu_heavy,10,Contextual Bandit RL,250.1364,291.9550,68.0810,0.9927,0.0238,0.8600,0.3274,1045.4650,80.8000,4.0400
cpu_heavy,10,PRM,171.2648,213.0834,151.8188,0.9927,0.0238,0.7400,0.1328,1045.4650,10.2000,0.5100
cpu_heavy,10,PRR,181.3980,223.2166,141.5174,0.9927,0.0238,0.8400,0.2274,1045.4650,52.4000,2.6200
cpu_heavy,10,Proposed Hybrid,232.8154,274.6340,64.1360,0.9927,0.0238,0.8600,0.3056,1045.4650,79.6000,3.9800
cpu_heavy,20,Contextual Bandit RL,593.9288,635.4314,118.9014,0.9963,0.0240,0.9500,0.1367,2075.1300,184.6000,9.2300
cpu_heavy,20,PRM,366.7374,408.2400,343.0861,0.9963,0.0240,0.8800,0.0849,2075.1300,21.4000,1.0700
cpu_heavy,20,PRR,389.1279,430.6305,313.0077,0.9963,0.0240,0.9100,0.2441,2075.1300,163.2000,8.1600
cpu_heavy,20,Proposed Hybrid,521.7142,563.2168,123.9908,0.9963,0.0240,0.9300,0.2082,2075.1300,185.0000,9.2500
cpu_heavy,50,Contextual Bandit RL,1620.4632,1662.7220,337.6210,0.9986,0.0236,0.9520,0.0571,5282.3600,498.0000,24.9000
cpu_heavy,50,PRM,969.9834,1012.2423,940.7981,0.9986,0.0236,0.9360,0.0476,5282.3600,60.0000,3.0000
cpu_heavy,50,PRR,1028.2257,1070.4846,851.1499,0.9986,0.0236,0.9640,0.1240,5282.3600,522.6000,26.1300
cpu_heavy,50,Proposed Hybrid,1246.2026,1288.4615,384.6392,0.9986,0.0236,0.9560,0.1100,5282.3600,503.8000,25.1900
cpu_heavy,100,Contextual Bandit RL,3187.4155,3228.4873,765.3520,0.9993,0.0243,0.9480,0.0514,10267.9450,971.6000,48.5800
cpu_heavy,100,PRM,1904.1989,1945.2707,1876.4524,0.9993,0.0243,0.9580,0.0341,10267.9450,115.6000,5.7800
cpu_heavy,100,PRR,2019.4811,2060.5529,1695.9177,0.9993,0.0243,0.9840,0.0885,10267.9450,1057.0000,52.8500
cpu_heavy,100,Proposed Hybrid,2299.7186,2340.7904,1082.9148,0.9993,0.0243,0.9700,0.0503,10267.9450,991.0000,49.5500
light,5,Contextual Bandit RL,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,5,PRM,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,5,PRR,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,5,Proposed Hybrid,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,10,Contextual Bandit RL,0.0626,5.3350,0.0626,0.4804,0.0908,0.0000,0.9863,52.7240,9.0000,0.4500
light,10,PRM,0.0626,5.3350,0.0626,0.4804,0.0908,0.0000,0.9863,52.7240,9.0000,0.4500
light,10,PRR,0.0626,5.3350,0.0626,0.4804,0.0908,0.0000,0.9863,52.7240,9.0000,0.4500
light,10,Proposed Hybrid,0.0626,5.3350,0.0626,0.4804,0.0908,0.0000,0.9863,52.7240,9.0000,0.4500
light,20,Contextual Bandit RL,0.0647,5.2898,0.0647,0.4887,0.0935,0.0100,0.9858,104.5020,19.0000,0.9500
light,20,PRM,0.0647,5.2898,0.0647,0.4887,0.0935,0.0100,0.9858,104.5020,19.0000,0.9500
light,20,PRR,0.0647,5.2898,0.0647,0.4887,0.0935,0.0100,0.9858,104.5020,19.0000,0.9500
light,20,Proposed Hybrid,0.0647,5.2898,0.0647,0.4887,0.0935,0.0100,0.9858,104.5020,19.0000,0.9500
light,50,Contextual Bandit RL,0.0977,5.4364,0.0977,0.5182,0.0971,0.0040,0.9783,266.9360,49.0000,2.4500
light,50,PRM,0.0977,5.4364,0.0977,0.5182,0.0971,0.0040,0.9783,266.9360,49.0000,2.4500
light,50,PRR,0.0977,5.4364,0.0977,0.5182,0.0971,0.0040,0.9783,266.9360,49.0000,2.4500
light,50,Proposed Hybrid,0.0977,5.4364,0.0977,0.5182,0.0971,0.0040,0.9783,266.9360,49.0000,2.4500
light,100,Contextual Bandit RL,0.0953,5.2558,0.0953,0.5074,0.0984,0.0040,0.9786,516.0520,99.0000,4.9500
light,100,PRM,0.0953,5.2558,0.0953,0.5074,0.0984,0.0040,0.9786,516.0520,99.0000,4.9500
light,100,PRR,0.1004,5.2609,0.0928,0.5074,0.0984,0.0040,0.9788,516.0520,99.2000,4.9600
light,100,Proposed Hybrid,0.0953,5.2558,0.0953,0.5074,0.0984,0.0040,0.9786,516.0520,99.0000,4.9500
