workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
bursty,5,Contextual Bandit RL,67.0572,94.8628,15.1416,0.9659599999999999,0.036092,3.8,0.76,0.73624,278.056,20.2,1.01,144.244
bursty,5,PRM,44.6368,72.44239999999999,34.6576,0.9659599999999999,0.036092,2.4,0.48,0.32480000000000003,278.056,5.0,0.25,144.244
bursty,5,PRR,45.443200000000004,73.24879999999999,26.826800000000002,0.9659599999999999,0.036092,2.8,0.5599999999999999,0.43088,278.056,10.8,0.54,144.244
bursty,5,Proposed Hybrid,51.662800000000004,79.4684,18.3784,0.9659599999999999,0.036092,3.0,0.6,0.63462,278.056,19.0,0.95,144.244
cpu_heavy,5,Contextual Bandit RL,110.4836,151.9884,22.1312,0.98566,0.024007999999999998,4.2,0.8400000000000001,0.72138,518.8100000000001,30.4,1.52,210.60999999999999
cpu_heavy,5,PRM,75.62480000000001,117.12960000000001,57.230399999999996,0.98566,0.024007999999999998,2.6,0.52,0.24864000000000003,518.8100000000001,5.0,0.25,210.60999999999999
cpu_heavy,5,PRR,77.3972,118.902,47.3452,0.98566,0.024007999999999998,3.2,0.64,0.33506,518.8100000000001,15.0,0.75,210.60999999999999
cpu_heavy,5,Proposed Hybrid,97.612,139.1168,23.8016,0.98566,0.024007999999999998,3.8,0.76,0.60856,518.8100000000001,28.6,1.43,210.60999999999999
light,5,Contextual Bandit RL,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,5,PRM,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,5,PRR,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
light,5,Proposed Hybrid,0.0748,5.3,0.0748,0.49218,0.094116,0.0,0.0,0.98464,26.125999999999998,4.0,0.2,54.262
mixed,5,Contextual Bandit RL,13.9108,26.4968,8.200800000000001,0.9119400000000001,0.07632,2.0,0.4,0.6139,113.274,7.4,0.37,69.39
mixed,5,PRM,15.7964,28.3824,13.1668,0.9119400000000001,0.07632,2.2,0.44000000000000006,0.48023999999999994,113.274,4.8,0.24,69.39
mixed,5,PRR,12.4252,25.0112,10.73,0.9119400000000001,0.07632,1.6,0.32,0.50456,113.274,5.6,0.27999999999999997,69.39
mixed,5,Proposed Hybrid,10.453199999999999,23.0392,7.1972000000000005,0.9119400000000001,0.07632,2.2,0.44000000000000006,0.55518,113.274,5.8,0.29,69.39
normal,5,Contextual Bandit RL,24.5216,37.586,6.76,0.9289,0.072296,3.8,0.76,0.592,97.983,12.2,0.61,70.45
normal,5,PRM,18.6844,31.7488,12.986799999999999,0.9289,0.072296,2.4,0.48,0.48098,97.983,5.2,0.26,70.45
normal,5,PRR,20.2512,33.3156,11.0928,0.9289,0.072296,2.6,0.52,0.44454000000000005,97.983,7.6,0.38,70.45
normal,5,Proposed Hybrid,21.4764,34.540800000000004,10.079600000000001,0.9289,0.072296,3.2,0.64,0.54636,97.983,10.2,0.51,70.45
