workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
bursty,5,Contextual Bandit RL,67.0572,94.8628,15.1416,0.9660,0.0361,0.7600,0.7362,278.0560,20.2000,1.0100
bursty,5,PRM,44.6368,72.4424,34.6576,0.9660,0.0361,0.4800,0.3248,278.0560,5.0000,0.2500
bursty,5,PRR,45.4432,73.2488,26.8268,0.9660,0.0361,0.5600,0.4309,278.0560,10.8000,0.5400
bursty,5,Proposed Hybrid,51.6628,79.4684,18.3784,0.9660,0.0361,0.6000,0.6346,278.0560,19.0000,0.9500
cpu_heavy,5,Contextual Bandit RL,110.4836,151.9884,22.1312,0.9857,0.0240,0.8400,0.7214,518.8100,30.4000,1.5200
cpu_heavy,5,PRM,75.6248,117.1296,57.2304,0.9857,0.0240,0.5200,0.2486,518.8100,5.0000,0.2500
cpu_heavy,5,PRR,77.3972,118.9020,47.3452,0.9857,0.0240,0.6400,0.3351,518.8100,15.0000,0.7500
cpu_heavy,5,Proposed Hybrid,97.6120,139.1168,23.8016,0.9857,0.0240,0.7600,0.6086,518.8100,28.6000,1.4300
light,5,Contextual Bandit RL,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,5,PRM,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,5,PRR,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
light,5,Proposed Hybrid,0.0748,5.3000,0.0748,0.4922,0.0941,0.0000,0.9846,26.1260,4.0000,0.2000
mixed,5,Contextual Bandit RL,13.9108,26.4968,8.2008,0.9119,0.0763,0.4000,0.6139,113.2740,7.4000,0.3700
mixed,5,PRM,15.7964,28.3824,13.1668,0.9119,0.0763,0.4400,0.4802,113.2740,4.8000,0.2400
mixed,5,PRR,12.4252,25.0112,10.7300,0.9119,0.0763,0.3200,0.5046,113.2740,5.6000,0.2800
mixed,5,Proposed Hybrid,10.4532,23.0392,7.1972,0.9119,0.0763,0.4400,0.5552,113.2740,5.8000,0.2900
normal,5,Contextual Bandit RL,24.5216,37.5860,6.7600,0.9289,0.0723,0.7600,0.5920,97.9830,12.2000,0.6100
normal,5,PRM,18.6844,31.7488,12.9868,0.9289,0.0723,0.4800,0.4810,97.9830,5.2000,0.2600
normal,5,PRR,20.2512,33.3156,11.0928,0.9289,0.0723,0.5200,0.4445,97.9830,7.6000,0.3800
normal,5,Proposed Hybrid,21.4764,34.5408,10.0796,0.9289,0.0723,0.6400,0.5464,97.9830,10.2000,0.5100
